Apical-Lumen, ECM strength, Spring Energy, 0.014206 0.003737 0.035734
Apical-Lumen, ECM strength, Spring Energy, 0.014210 0.003735 0.035710
Apical-Lumen, ECM strength, Spring Energy, 0.014213 0.003733 0.035685
Apical-Lumen, ECM strength, Spring Energy, 0.014216 0.003731 0.035659
Apical-Lumen, ECM strength, Spring Energy, 0.014220 0.003728 0.035632
Apical-Lumen, ECM strength, Spring Energy, 0.014223 0.003726 0.035605
Apical-Lumen, ECM strength, Spring Energy, 0.014227 0.003723 0.035576
Apical-Lumen, ECM strength, Spring Energy, 0.014230 0.003721 0.035546
Apical-Lumen, ECM strength, Spring Energy, 0.014234 0.003719 0.035520
Apical-Lumen, ECM strength, Spring Energy, 0.014238 0.003717 0.035497
Apical-Lumen, ECM strength, Spring Energy, 0.014241 0.003715 0.035473
Apical-Lumen, ECM strength, Spring Energy, 0.014244 0.003713 0.035449
Apical-Lumen, ECM strength, Spring Energy, 0.014247 0.003711 0.035424
Apical-Lumen, ECM strength, Spring Energy, 0.014250 0.003708 0.035398
Apical-Lumen, ECM strength, Spring Energy, 0.014254 0.003706 0.035371
Apical-Lumen, ECM strength, Spring Energy, 0.014257 0.003704 0.035344
Apical-Lumen, ECM strength, Spring Energy, 0.014261 0.003702 0.035317
Apical-Lumen, ECM strength, Spring Energy, 0.014264 0.003700 0.035296
Apical-Lumen, ECM strength, Spring Energy, 0.014267 0.003698 0.035273
Apical-Lumen, ECM strength, Spring Energy, 0.014270 0.003696 0.035250
Apical-Lumen, ECM strength, Spring Energy, 0.014273 0.003694 0.035227
Apical-Lumen, ECM strength, Spring Energy, 0.014276 0.003692 0.035203
Apical-Lumen, ECM strength, Spring Energy, 0.014280 0.003690 0.035178
Apical-Lumen, ECM strength, Spring Energy, 0.014283 0.003688 0.035152
Apical-Lumen, ECM strength, Spring Energy, 0.014286 0.003686 0.035125
Apical-Lumen, ECM strength, Spring Energy, 0.014290 0.003685 0.035104
Apical-Lumen, ECM strength, Spring Energy, 0.014293 0.003683 0.035083
Apical-Lumen, ECM strength, Spring Energy, 0.014295 0.003681 0.035062
Apical-Lumen, ECM strength, Spring Energy, 0.014298 0.003680 0.035041
Apical-Lumen, ECM strength, Spring Energy, 0.014301 0.003678 0.035019
Apical-Lumen, ECM strength, Spring Energy, 0.014304 0.003676 0.034996
Apical-Lumen, ECM strength, Spring Energy, 0.014307 0.003674 0.034973
Apical-Lumen, ECM strength, Spring Energy, 0.014310 0.003672 0.034949
Apical-Lumen, ECM strength, Spring Energy, 0.014314 0.003670 0.034924
Apical-Lumen, ECM strength, Spring Energy, 0.014317 0.003669 0.034900
Apical-Lumen, ECM strength, Spring Energy, 0.014320 0.003667 0.034881
Apical-Lumen, ECM strength, Spring Energy, 0.014323 0.003666 0.034861
Apical-Lumen, ECM strength, Spring Energy, 0.014326 0.003664 0.034840
Apical-Lumen, ECM strength, Spring Energy, 0.014328 0.003662 0.034819
Apical-Lumen, ECM strength, Spring Energy, 0.014331 0.003661 0.034798
Apical-Lumen, ECM strength, Spring Energy, 0.014334 0.003659 0.034776
Apical-Lumen, ECM strength, Spring Energy, 0.014337 0.003657 0.034754
Apical-Lumen, ECM strength, Spring Energy, 0.014340 0.003656 0.034730
Apical-Lumen, ECM strength, Spring Energy, 0.014343 0.003654 0.034706
Apical-Lumen, ECM strength, Spring Energy, 0.014347 0.003652 0.034688
Apical-Lumen, ECM strength, Spring Energy, 0.014349 0.003651 0.034669
Apical-Lumen, ECM strength, Spring Energy, 0.014352 0.003650 0.034650
Apical-Lumen, ECM strength, Spring Energy, 0.014354 0.003648 0.034630
Apical-Lumen, ECM strength, Spring Energy, 0.014357 0.003647 0.034610
Apical-Lumen, ECM strength, Spring Energy, 0.014360 0.003645 0.034590
Apical-Lumen, ECM strength, Spring Energy, 0.014363 0.003643 0.034569
Apical-Lumen, ECM strength, Spring Energy, 0.014366 0.003642 0.034547
Apical-Lumen, ECM strength, Spring Energy, 0.014369 0.003640 0.034525
Apical-Lumen, ECM strength, Spring Energy, 0.014372 0.003638 0.034502
Apical-Lumen, ECM strength, Spring Energy, 0.014375 0.003637 0.034484
Apical-Lumen, ECM strength, Spring Energy, 0.014377 0.003636 0.034466
Apical-Lumen, ECM strength, Spring Energy, 0.014380 0.003634 0.034448
Apical-Lumen, ECM strength, Spring Energy, 0.014382 0.003633 0.034429
Apical-Lumen, ECM strength, Spring Energy, 0.014385 0.003632 0.034410
Apical-Lumen, ECM strength, Spring Energy, 0.014387 0.003630 0.034391
Apical-Lumen, ECM strength, Spring Energy, 0.014390 0.003629 0.034371
Apical-Lumen, ECM strength, Spring Energy, 0.014393 0.003627 0.034350
Apical-Lumen, ECM strength, Spring Energy, 0.014396 0.003626 0.034329
Apical-Lumen, ECM strength, Spring Energy, 0.014399 0.003624 0.034307
Apical-Lumen, ECM strength, Spring Energy, 0.014402 0.003623 0.034289
Apical-Lumen, ECM strength, Spring Energy, 0.014404 0.003621 0.034271
Apical-Lumen, ECM strength, Spring Energy, 0.014407 0.003620 0.034254
Apical-Lumen, ECM strength, Spring Energy, 0.014409 0.003619 0.034236
Apical-Lumen, ECM strength, Spring Energy, 0.014412 0.003617 0.034218
Apical-Lumen, ECM strength, Spring Energy, 0.014414 0.003616 0.034199
Apical-Lumen, ECM strength, Spring Energy, 0.014417 0.003615 0.034180
Apical-Lumen, ECM strength, Spring Energy, 0.014420 0.003613 0.034160
Apical-Lumen, ECM strength, Spring Energy, 0.014422 0.003612 0.034140
