Apical-Lumen, ECM strength, Spring Energy, 0.015187 0.006337 0.037841
Apical-Lumen, ECM strength, Spring Energy, 0.015200 0.006333 0.037616
Apical-Lumen, ECM strength, Spring Energy, 0.015214 0.006330 0.037396
Apical-Lumen, ECM strength, Spring Energy, 0.015227 0.006327 0.037184
Apical-Lumen, ECM strength, Spring Energy, 0.015239 0.006323 0.036972
Apical-Lumen, ECM strength, Spring Energy, 0.015252 0.006320 0.036763
Apical-Lumen, ECM strength, Spring Energy, 0.015264 0.006317 0.036561
Apical-Lumen, ECM strength, Spring Energy, 0.015277 0.006314 0.036361
Apical-Lumen, ECM strength, Spring Energy, 0.015289 0.006311 0.036163
Apical-Lumen, ECM strength, Spring Energy, 0.015301 0.006308 0.035971
Apical-Lumen, ECM strength, Spring Energy, 0.015312 0.006305 0.035782
Apical-Lumen, ECM strength, Spring Energy, 0.015324 0.006302 0.035595
Apical-Lumen, ECM strength, Spring Energy, 0.015335 0.006299 0.035414
Apical-Lumen, ECM strength, Spring Energy, 0.015347 0.006296 0.035235
Apical-Lumen, ECM strength, Spring Energy, 0.015358 0.006294 0.035058
Apical-Lumen, ECM strength, Spring Energy, 0.015369 0.006291 0.034886
Apical-Lumen, ECM strength, Spring Energy, 0.015379 0.006288 0.034717
Apical-Lumen, ECM strength, Spring Energy, 0.015390 0.006286 0.034549
Apical-Lumen, ECM strength, Spring Energy, 0.015400 0.006283 0.034386
Apical-Lumen, ECM strength, Spring Energy, 0.015410 0.006280 0.034225
Apical-Lumen, ECM strength, Spring Energy, 0.015421 0.006278 0.034067
Apical-Lumen, ECM strength, Spring Energy, 0.015431 0.006275 0.033911
Apical-Lumen, ECM strength, Spring Energy, 0.015440 0.006273 0.033759
Apical-Lumen, ECM strength, Spring Energy, 0.015450 0.006271 0.033609
Apical-Lumen, ECM strength, Spring Energy, 0.015460 0.006268 0.033463
Apical-Lumen, ECM strength, Spring Energy, 0.015469 0.006266 0.033320
Apical-Lumen, ECM strength, Spring Energy, 0.015478 0.006264 0.033180
Apical-Lumen, ECM strength, Spring Energy, 0.015487 0.006262 0.033042
Apical-Lumen, ECM strength, Spring Energy, 0.015496 0.006260 0.032907
Apical-Lumen, ECM strength, Spring Energy, 0.015505 0.006258 0.032773
Apical-Lumen, ECM strength, Spring Energy, 0.015514 0.006256 0.032642
Apical-Lumen, ECM strength, Spring Energy, 0.015523 0.006254 0.032514
Apical-Lumen, ECM strength, Spring Energy, 0.015531 0.006252 0.032387
Apical-Lumen, ECM strength, Spring Energy, 0.015540 0.006250 0.032262
Apical-Lumen, ECM strength, Spring Energy, 0.015548 0.006248 0.032139
Apical-Lumen, ECM strength, Spring Energy, 0.015556 0.006246 0.032019
Apical-Lumen, ECM strength, Spring Energy, 0.015564 0.006245 0.031899
Apical-Lumen, ECM strength, Spring Energy, 0.015572 0.006243 0.031782
Apical-Lumen, ECM strength, Spring Energy, 0.015580 0.006241 0.031667
Apical-Lumen, ECM strength, Spring Energy, 0.015588 0.006240 0.031554
Apical-Lumen, ECM strength, Spring Energy, 0.015596 0.006238 0.031444
Apical-Lumen, ECM strength, Spring Energy, 0.015604 0.006237 0.031336
Apical-Lumen, ECM strength, Spring Energy, 0.015611 0.006235 0.031228
Apical-Lumen, ECM strength, Spring Energy, 0.015619 0.006234 0.031123
Apical-Lumen, ECM strength, Spring Energy, 0.015626 0.006232 0.031019
Apical-Lumen, ECM strength, Spring Energy, 0.015633 0.006231 0.030916
Apical-Lumen, ECM strength, Spring Energy, 0.015641 0.006230 0.030815
Apical-Lumen, ECM strength, Spring Energy, 0.015648 0.006228 0.030715
Apical-Lumen, ECM strength, Spring Energy, 0.015655 0.006227 0.030617
Apical-Lumen, ECM strength, Spring Energy, 0.015662 0.006226 0.030520
Apical-Lumen, ECM strength, Spring Energy, 0.015669 0.006225 0.030423
Apical-Lumen, ECM strength, Spring Energy, 0.015676 0.006223 0.030329
Apical-Lumen, ECM strength, Spring Energy, 0.015683 0.006222 0.030235
Apical-Lumen, ECM strength, Spring Energy, 0.015689 0.006221 0.030142
Apical-Lumen, ECM strength, Spring Energy, 0.015696 0.006220 0.030051
Apical-Lumen, ECM strength, Spring Energy, 0.015703 0.006219 0.029960
Apical-Lumen, ECM strength, Spring Energy, 0.015709 0.006218 0.029871
Apical-Lumen, ECM strength, Spring Energy, 0.015716 0.006217 0.029782
Apical-Lumen, ECM strength, Spring Energy, 0.015722 0.006215 0.029695
Apical-Lumen, ECM strength, Spring Energy, 0.015728 0.006214 0.029608
Apical-Lumen, ECM strength, Spring Energy, 0.015735 0.006213 0.029523
Apical-Lumen, ECM strength, Spring Energy, 0.015741 0.006212 0.029438
Apical-Lumen, ECM strength, Spring Energy, 0.015747 0.006211 0.029354
Apical-Lumen, ECM strength, Spring Energy, 0.015753 0.006210 0.029271
Apical-Lumen, ECM strength, Spring Energy, 0.015759 0.006209 0.029189
Apical-Lumen, ECM strength, Spring Energy, 0.015765 0.006208 0.029108
Apical-Lumen, ECM strength, Spring Energy, 0.015771 0.006208 0.029028
Apical-Lumen, ECM strength, Spring Energy, 0.015777 0.006207 0.028948
Apical-Lumen, ECM strength, Spring Energy, 0.015783 0.006206 0.028869
Apical-Lumen, ECM strength, Spring Energy, 0.015789 0.006205 0.028791
Apical-Lumen, ECM strength, Spring Energy, 0.015794 0.006204 0.028714
Apical-Lumen, ECM strength, Spring Energy, 0.015800 0.006203 0.028637
Apical-Lumen, ECM strength, Spring Energy, 0.015806 0.006202 0.028562
Apical-Lumen, ECM strength, Spring Energy, 0.015811 0.006201 0.028487
Apical-Lumen, ECM strength, Spring Energy, 0.015817 0.006200 0.028412
Apical-Lumen, ECM strength, Spring Energy, 0.015822 0.006199 0.028339
Apical-Lumen, ECM strength, Spring Energy, 0.015828 0.006199 0.028266
Apical-Lumen, ECM strength, Spring Energy, 0.015833 0.006198 0.028194
Apical-Lumen, ECM strength, Spring Energy, 0.015839 0.006197 0.028122
