Apical-Lumen, ECM strength, Spring Energy, 0.014961 0.022115 0.037091
Apical-Lumen, ECM strength, Spring Energy, 0.014967 0.022113 0.037064
Apical-Lumen, ECM strength, Spring Energy, 0.014972 0.022110 0.037037
Apical-Lumen, ECM strength, Spring Energy, 0.014977 0.022108 0.037010
Apical-Lumen, ECM strength, Spring Energy, 0.014982 0.022106 0.036982
Apical-Lumen, ECM strength, Spring Energy, 0.014988 0.022104 0.036955
Apical-Lumen, ECM strength, Spring Energy, 0.014993 0.022101 0.036929
Apical-Lumen, ECM strength, Spring Energy, 0.014998 0.022099 0.036904
Apical-Lumen, ECM strength, Spring Energy, 0.015002 0.022097 0.036879
Apical-Lumen, ECM strength, Spring Energy, 0.015007 0.022095 0.036854
Apical-Lumen, ECM strength, Spring Energy, 0.015012 0.022093 0.036828
Apical-Lumen, ECM strength, Spring Energy, 0.015017 0.022091 0.036803
Apical-Lumen, ECM strength, Spring Energy, 0.015022 0.022089 0.036777
Apical-Lumen, ECM strength, Spring Energy, 0.015027 0.022086 0.036751
Apical-Lumen, ECM strength, Spring Energy, 0.015032 0.022084 0.036728
Apical-Lumen, ECM strength, Spring Energy, 0.015036 0.022082 0.036704
Apical-Lumen, ECM strength, Spring Energy, 0.015041 0.022080 0.036681
Apical-Lumen, ECM strength, Spring Energy, 0.015045 0.022078 0.036657
Apical-Lumen, ECM strength, Spring Energy, 0.015050 0.022076 0.036633
Apical-Lumen, ECM strength, Spring Energy, 0.015054 0.022074 0.036609
Apical-Lumen, ECM strength, Spring Energy, 0.015059 0.022072 0.036585
Apical-Lumen, ECM strength, Spring Energy, 0.015063 0.022070 0.036560
Apical-Lumen, ECM strength, Spring Energy, 0.015068 0.022068 0.036538
Apical-Lumen, ECM strength, Spring Energy, 0.015072 0.022066 0.036516
Apical-Lumen, ECM strength, Spring Energy, 0.015076 0.022065 0.036494
Apical-Lumen, ECM strength, Spring Energy, 0.015080 0.022063 0.036471
Apical-Lumen, ECM strength, Spring Energy, 0.015084 0.022061 0.036449
Apical-Lumen, ECM strength, Spring Energy, 0.015089 0.022059 0.036427
Apical-Lumen, ECM strength, Spring Energy, 0.015093 0.022057 0.036404
Apical-Lumen, ECM strength, Spring Energy, 0.015097 0.022055 0.036381
Apical-Lumen, ECM strength, Spring Energy, 0.015101 0.022053 0.036358
Apical-Lumen, ECM strength, Spring Energy, 0.015106 0.022051 0.036336
Apical-Lumen, ECM strength, Spring Energy, 0.015109 0.022049 0.036316
Apical-Lumen, ECM strength, Spring Energy, 0.015113 0.022048 0.036295
Apical-Lumen, ECM strength, Spring Energy, 0.015117 0.022046 0.036274
Apical-Lumen, ECM strength, Spring Energy, 0.015121 0.022044 0.036253
Apical-Lumen, ECM strength, Spring Energy, 0.015125 0.022042 0.036232
Apical-Lumen, ECM strength, Spring Energy, 0.015129 0.022041 0.036211
Apical-Lumen, ECM strength, Spring Energy, 0.015132 0.022039 0.036190
Apical-Lumen, ECM strength, Spring Energy, 0.015136 0.022037 0.036168
Apical-Lumen, ECM strength, Spring Energy, 0.015140 0.022035 0.036147
Apical-Lumen, ECM strength, Spring Energy, 0.015144 0.022034 0.036127
Apical-Lumen, ECM strength, Spring Energy, 0.015148 0.022032 0.036107
Apical-Lumen, ECM strength, Spring Energy, 0.015151 0.022030 0.036088
Apical-Lumen, ECM strength, Spring Energy, 0.015155 0.022029 0.036069
Apical-Lumen, ECM strength, Spring Energy, 0.015158 0.022027 0.036049
Apical-Lumen, ECM strength, Spring Energy, 0.015162 0.022026 0.036030
Apical-Lumen, ECM strength, Spring Energy, 0.015165 0.022024 0.036010
Apical-Lumen, ECM strength, Spring Energy, 0.015169 0.022022 0.035990
Apical-Lumen, ECM strength, Spring Energy, 0.015172 0.022021 0.035970
Apical-Lumen, ECM strength, Spring Energy, 0.015176 0.022019 0.035950
Apical-Lumen, ECM strength, Spring Energy, 0.015179 0.022017 0.035930
Apical-Lumen, ECM strength, Spring Energy, 0.015183 0.022016 0.035911
Apical-Lumen, ECM strength, Spring Energy, 0.015186 0.022014 0.035894
Apical-Lumen, ECM strength, Spring Energy, 0.015189 0.022013 0.035876
Apical-Lumen, ECM strength, Spring Energy, 0.015192 0.022011 0.035858
Apical-Lumen, ECM strength, Spring Energy, 0.015195 0.022010 0.035839
Apical-Lumen, ECM strength, Spring Energy, 0.015198 0.022008 0.035821
Apical-Lumen, ECM strength, Spring Energy, 0.015202 0.022007 0.035803
Apical-Lumen, ECM strength, Spring Energy, 0.015205 0.022005 0.035784
Apical-Lumen, ECM strength, Spring Energy, 0.015208 0.022004 0.035766
Apical-Lumen, ECM strength, Spring Energy, 0.015211 0.022002 0.035747
Apical-Lumen, ECM strength, Spring Energy, 0.015214 0.022001 0.035729
Apical-Lumen, ECM strength, Spring Energy, 0.015218 0.021999 0.035710
Apical-Lumen, ECM strength, Spring Energy, 0.015221 0.021998 0.035692
Apical-Lumen, ECM strength, Spring Energy, 0.015224 0.021996 0.035676
Apical-Lumen, ECM strength, Spring Energy, 0.015226 0.021995 0.035659
Apical-Lumen, ECM strength, Spring Energy, 0.015229 0.021994 0.035642
Apical-Lumen, ECM strength, Spring Energy, 0.015232 0.021992 0.035626
Apical-Lumen, ECM strength, Spring Energy, 0.015235 0.021991 0.035609
Apical-Lumen, ECM strength, Spring Energy, 0.015238 0.021990 0.035592
Apical-Lumen, ECM strength, Spring Energy, 0.015241 0.021988 0.035575
Apical-Lumen, ECM strength, Spring Energy, 0.015244 0.021987 0.035558
Apical-Lumen, ECM strength, Spring Energy, 0.015246 0.021986 0.035541
Apical-Lumen, ECM strength, Spring Energy, 0.015249 0.021984 0.035524
Apical-Lumen, ECM strength, Spring Energy, 0.015252 0.021983 0.035506
Apical-Lumen, ECM strength, Spring Energy, 0.015255 0.021982 0.035489
Apical-Lumen, ECM strength, Spring Energy, 0.015258 0.021980 0.035472
Apical-Lumen, ECM strength, Spring Energy, 0.015261 0.021979 0.035456
Apical-Lumen, ECM strength, Spring Energy, 0.015263 0.021978 0.035441
Apical-Lumen, ECM strength, Spring Energy, 0.015266 0.021977 0.035426
Apical-Lumen, ECM strength, Spring Energy, 0.015268 0.021975 0.035411
Apical-Lumen, ECM strength, Spring Energy, 0.015271 0.021974 0.035395
Apical-Lumen, ECM strength, Spring Energy, 0.015273 0.021973 0.035380
Apical-Lumen, ECM strength, Spring Energy, 0.015276 0.021972 0.035364
Apical-Lumen, ECM strength, Spring Energy, 0.015278 0.021971 0.035349
Apical-Lumen, ECM strength, Spring Energy, 0.015281 0.021969 0.035333
Apical-Lumen, ECM strength, Spring Energy, 0.015284 0.021968 0.035317
Apical-Lumen, ECM strength, Spring Energy, 0.015286 0.021967 0.035301
Apical-Lumen, ECM strength, Spring Energy, 0.015289 0.021966 0.035286
Apical-Lumen, ECM strength, Spring Energy, 0.015291 0.021964 0.035270
Apical-Lumen, ECM strength, Spring Energy, 0.015294 0.021963 0.035254
Apical-Lumen, ECM strength, Spring Energy, 0.015297 0.021962 0.035239
Apical-Lumen, ECM strength, Spring Energy, 0.015299 0.021961 0.035225
Apical-Lumen, ECM strength, Spring Energy, 0.015301 0.021960 0.035211
Apical-Lumen, ECM strength, Spring Energy, 0.015304 0.021959 0.035196
Apical-Lumen, ECM strength, Spring Energy, 0.015306 0.021958 0.035182
Apical-Lumen, ECM strength, Spring Energy, 0.015308 0.021957 0.035168
Apical-Lumen, ECM strength, Spring Energy, 0.015311 0.021955 0.035153
Apical-Lumen, ECM strength, Spring Energy, 0.015313 0.021954 0.035139
Apical-Lumen, ECM strength, Spring Energy, 0.015315 0.021953 0.035124
Apical-Lumen, ECM strength, Spring Energy, 0.015318 0.021952 0.035110
Apical-Lumen, ECM strength, Spring Energy, 0.015320 0.021951 0.035095
Apical-Lumen, ECM strength, Spring Energy, 0.015322 0.021950 0.035081
Apical-Lumen, ECM strength, Spring Energy, 0.015325 0.021949 0.035067
Apical-Lumen, ECM strength, Spring Energy, 0.015327 0.021948 0.035053
Apical-Lumen, ECM strength, Spring Energy, 0.015329 0.021947 0.035040
Apical-Lumen, ECM strength, Spring Energy, 0.015331 0.021946 0.035026
Apical-Lumen, ECM strength, Spring Energy, 0.015333 0.021945 0.035013
Apical-Lumen, ECM strength, Spring Energy, 0.015336 0.021944 0.034999
Apical-Lumen, ECM strength, Spring Energy, 0.015338 0.021943 0.034986
Apical-Lumen, ECM strength, Spring Energy, 0.015340 0.021942 0.034972
Apical-Lumen, ECM strength, Spring Energy, 0.015342 0.021941 0.034959
Apical-Lumen, ECM strength, Spring Energy, 0.015344 0.021940 0.034945
Apical-Lumen, ECM strength, Spring Energy, 0.015347 0.021939 0.034932
Apical-Lumen, ECM strength, Spring Energy, 0.015349 0.021938 0.034919
Apical-Lumen, ECM strength, Spring Energy, 0.015351 0.021937 0.034906
Apical-Lumen, ECM strength, Spring Energy, 0.015353 0.021936 0.034893
Apical-Lumen, ECM strength, Spring Energy, 0.015355 0.021935 0.034880
Apical-Lumen, ECM strength, Spring Energy, 0.015357 0.021934 0.034867
Apical-Lumen, ECM strength, Spring Energy, 0.015359 0.021933 0.034855
Apical-Lumen, ECM strength, Spring Energy, 0.015361 0.021932 0.034842
Apical-Lumen, ECM strength, Spring Energy, 0.015363 0.021931 0.034829
Apical-Lumen, ECM strength, Spring Energy, 0.015365 0.021930 0.034817
Apical-Lumen, ECM strength, Spring Energy, 0.015367 0.021929 0.034804
Apical-Lumen, ECM strength, Spring Energy, 0.015369 0.021928 0.034791
Apical-Lumen, ECM strength, Spring Energy, 0.015371 0.021928 0.034779
Apical-Lumen, ECM strength, Spring Energy, 0.015373 0.021927 0.034767
Apical-Lumen, ECM strength, Spring Energy, 0.015375 0.021926 0.034755
Apical-Lumen, ECM strength, Spring Energy, 0.015377 0.021925 0.034742
Apical-Lumen, ECM strength, Spring Energy, 0.015379 0.021924 0.034730
Apical-Lumen, ECM strength, Spring Energy, 0.015381 0.021923 0.034718
Apical-Lumen, ECM strength, Spring Energy, 0.015383 0.021922 0.034706
Apical-Lumen, ECM strength, Spring Energy, 0.015385 0.021921 0.034694
Apical-Lumen, ECM strength, Spring Energy, 0.015387 0.021921 0.034682
Apical-Lumen, ECM strength, Spring Energy, 0.015389 0.021920 0.034670
Apical-Lumen, ECM strength, Spring Energy, 0.015391 0.021919 0.034659
Apical-Lumen, ECM strength, Spring Energy, 0.015393 0.021918 0.034647
Apical-Lumen, ECM strength, Spring Energy, 0.015395 0.021917 0.034635
Apical-Lumen, ECM strength, Spring Energy, 0.015397 0.021916 0.034623
Apical-Lumen, ECM strength, Spring Energy, 0.015398 0.021915 0.034612
Apical-Lumen, ECM strength, Spring Energy, 0.015400 0.021915 0.034600
Apical-Lumen, ECM strength, Spring Energy, 0.015402 0.021914 0.034589
Apical-Lumen, ECM strength, Spring Energy, 0.015404 0.021913 0.034578
Apical-Lumen, ECM strength, Spring Energy, 0.015406 0.021912 0.034566
Apical-Lumen, ECM strength, Spring Energy, 0.015408 0.021911 0.034555
Apical-Lumen, ECM strength, Spring Energy, 0.015409 0.021911 0.034544
Apical-Lumen, ECM strength, Spring Energy, 0.015411 0.021910 0.034532
Apical-Lumen, ECM strength, Spring Energy, 0.015413 0.021909 0.034521
Apical-Lumen, ECM strength, Spring Energy, 0.015415 0.021908 0.034510
Apical-Lumen, ECM strength, Spring Energy, 0.015417 0.021907 0.034499
Apical-Lumen, ECM strength, Spring Energy, 0.015418 0.021907 0.034488
Apical-Lumen, ECM strength, Spring Energy, 0.015420 0.021906 0.034477
Apical-Lumen, ECM strength, Spring Energy, 0.015422 0.021905 0.034466
Apical-Lumen, ECM strength, Spring Energy, 0.015424 0.021904 0.034455
Apical-Lumen, ECM strength, Spring Energy, 0.015425 0.021904 0.034444
Apical-Lumen, ECM strength, Spring Energy, 0.015427 0.021903 0.034434
Apical-Lumen, ECM strength, Spring Energy, 0.015429 0.021902 0.034423
Apical-Lumen, ECM strength, Spring Energy, 0.015431 0.021901 0.034412
Apical-Lumen, ECM strength, Spring Energy, 0.015432 0.021901 0.034401
Apical-Lumen, ECM strength, Spring Energy, 0.015434 0.021900 0.034391
Apical-Lumen, ECM strength, Spring Energy, 0.015436 0.021899 0.034380
