Apical-Lumen, ECM strength, Spring Energy, 0.015278 0.013776 0.042446
Apical-Lumen, ECM strength, Spring Energy, 0.015285 0.013772 0.042385
Apical-Lumen, ECM strength, Spring Energy, 0.015292 0.013768 0.042324
Apical-Lumen, ECM strength, Spring Energy, 0.015299 0.013763 0.042264
Apical-Lumen, ECM strength, Spring Energy, 0.015306 0.013759 0.042205
Apical-Lumen, ECM strength, Spring Energy, 0.015312 0.013755 0.042147
Apical-Lumen, ECM strength, Spring Energy, 0.015319 0.013751 0.042089
Apical-Lumen, ECM strength, Spring Energy, 0.015325 0.013747 0.042032
Apical-Lumen, ECM strength, Spring Energy, 0.015331 0.013743 0.041976
Apical-Lumen, ECM strength, Spring Energy, 0.015337 0.013739 0.041921
Apical-Lumen, ECM strength, Spring Energy, 0.015343 0.013736 0.041866
Apical-Lumen, ECM strength, Spring Energy, 0.015349 0.013732 0.041812
Apical-Lumen, ECM strength, Spring Energy, 0.015355 0.013729 0.041758
Apical-Lumen, ECM strength, Spring Energy, 0.015361 0.013725 0.041706
Apical-Lumen, ECM strength, Spring Energy, 0.015367 0.013722 0.041653
Apical-Lumen, ECM strength, Spring Energy, 0.015372 0.013718 0.041602
Apical-Lumen, ECM strength, Spring Energy, 0.015378 0.013715 0.041550
Apical-Lumen, ECM strength, Spring Energy, 0.015383 0.013711 0.041500
Apical-Lumen, ECM strength, Spring Energy, 0.015389 0.013708 0.041450
Apical-Lumen, ECM strength, Spring Energy, 0.015394 0.013705 0.041400
Apical-Lumen, ECM strength, Spring Energy, 0.015399 0.013702 0.041351
Apical-Lumen, ECM strength, Spring Energy, 0.015404 0.013699 0.041303
Apical-Lumen, ECM strength, Spring Energy, 0.015409 0.013696 0.041255
Apical-Lumen, ECM strength, Spring Energy, 0.015414 0.013693 0.041207
Apical-Lumen, ECM strength, Spring Energy, 0.015419 0.013690 0.041160
Apical-Lumen, ECM strength, Spring Energy, 0.015424 0.013687 0.041113
Apical-Lumen, ECM strength, Spring Energy, 0.015429 0.013684 0.041067
Apical-Lumen, ECM strength, Spring Energy, 0.015434 0.013681 0.041021
Apical-Lumen, ECM strength, Spring Energy, 0.015439 0.013678 0.040976
Apical-Lumen, ECM strength, Spring Energy, 0.015443 0.013675 0.040930
Apical-Lumen, ECM strength, Spring Energy, 0.015448 0.013673 0.040886
Apical-Lumen, ECM strength, Spring Energy, 0.015453 0.013670 0.040841
Apical-Lumen, ECM strength, Spring Energy, 0.015457 0.013667 0.040797
