6	341
8	346
9	351
10	356
12	361
13	366
18	371
23	376
27	381
32	386
37	391
42	396
47	399
52	402
57	406
62	409
67	413
72	416
77	419
82	421
87	424
92	427
97	429
102	431
107	432
112	433
117	435
122	436
127	437
132	438
137	439
142	439
147	440
152	440
157	440
162	440
167	441
172	441
177	441
182	442
187	442
192	442
197	442
202	442
207	443
212	443
217	443
222	443
227	443
232	443
237	443
242	443
247	444
252	443
257	443
262	443
267	443
272	442
277	442
282	442
287	442
292	441
297	441
302	441
307	441
312	440
317	440
322	440
327	440
332	439
337	439
342	439
347	439
352	438
357	438
362	438
367	437
372	436
377	435
382	434
387	433
392	432
397	431
402	430
407	429
412	428
417	427
422	424
427	422
432	419
437	416
442	413
447	410
452	407
456	404
459	399
462	394
465	389
468	384
470	379
470	374
471	369
471	364
471	359
471	354
472	349
471	344
470	339
470	334
469	329
468	324
467	319
466	314
461	309
456	305
451	300
446	298
441	297
436	296
431	295
426	294
421	293
416	292
411	292
406	292
401	292
396	292
391	292
386	292
381	291
380	296
378	301
376	306
375	311
373	316
371	321
366	326
361	331
356	335
351	336
346	338
341	340
336	341
331	343
326	343
321	343
316	344
311	344
306	344
301	345
296	345
291	345
286	345
281	346
276	346
271	346
266	346
261	346
256	346
251	346
246	347
241	347
236	347
231	347
226	347
221	347
216	348
211	348
206	348
201	348
196	348
191	348
186	349
181	349
176	349
171	350
166	350
161	350
156	350
151	350
146	350
141	350
136	350
131	348
126	343
121	339
118	334
116	329
114	324
112	319
110	314
107	309
105	304
101	301
96	300
91	299
86	298
81	297
76	296
71	296
66	296
61	296
56	296
51	296
46	297
41	299
36	301
31	303
26	305
21	310
16	314
12	319
10	324
8	329
5	334
