Apical-Lumen, ECM strength, Spring Energy, 0.014667 0.025717 0.019724
Apical-Lumen, ECM strength, Spring Energy, 0.014676 0.025711 0.019703
Apical-Lumen, ECM strength, Spring Energy, 0.014685 0.025704 0.019681
Apical-Lumen, ECM strength, Spring Energy, 0.014695 0.025698 0.019658
Apical-Lumen, ECM strength, Spring Energy, 0.014704 0.025692 0.019640
Apical-Lumen, ECM strength, Spring Energy, 0.014712 0.025687 0.019621
Apical-Lumen, ECM strength, Spring Energy, 0.014720 0.025681 0.019601
Apical-Lumen, ECM strength, Spring Energy, 0.014729 0.025674 0.019579
Apical-Lumen, ECM strength, Spring Energy, 0.014737 0.025669 0.019563
Apical-Lumen, ECM strength, Spring Energy, 0.014745 0.025664 0.019546
Apical-Lumen, ECM strength, Spring Energy, 0.014753 0.025659 0.019528
Apical-Lumen, ECM strength, Spring Energy, 0.014761 0.025653 0.019508
Apical-Lumen, ECM strength, Spring Energy, 0.014770 0.025647 0.019487
Apical-Lumen, ECM strength, Spring Energy, 0.014778 0.025642 0.019471
Apical-Lumen, ECM strength, Spring Energy, 0.014785 0.025637 0.019455
Apical-Lumen, ECM strength, Spring Energy, 0.014792 0.025632 0.019439
Apical-Lumen, ECM strength, Spring Energy, 0.014799 0.025627 0.019422
Apical-Lumen, ECM strength, Spring Energy, 0.014807 0.025621 0.019403
Apical-Lumen, ECM strength, Spring Energy, 0.014816 0.025615 0.019383
Apical-Lumen, ECM strength, Spring Energy, 0.014823 0.025610 0.019367
Apical-Lumen, ECM strength, Spring Energy, 0.014830 0.025606 0.019353
Apical-Lumen, ECM strength, Spring Energy, 0.014836 0.025602 0.019338
Apical-Lumen, ECM strength, Spring Energy, 0.014843 0.025597 0.019322
Apical-Lumen, ECM strength, Spring Energy, 0.014851 0.025592 0.019305
Apical-Lumen, ECM strength, Spring Energy, 0.014858 0.025586 0.019287
Apical-Lumen, ECM strength, Spring Energy, 0.014866 0.025581 0.019272
Apical-Lumen, ECM strength, Spring Energy, 0.014872 0.025577 0.019258
Apical-Lumen, ECM strength, Spring Energy, 0.014878 0.025573 0.019244
Apical-Lumen, ECM strength, Spring Energy, 0.014885 0.025568 0.019229
Apical-Lumen, ECM strength, Spring Energy, 0.014892 0.025563 0.019213
Apical-Lumen, ECM strength, Spring Energy, 0.014899 0.025558 0.019195
Apical-Lumen, ECM strength, Spring Energy, 0.014906 0.025553 0.019181
Apical-Lumen, ECM strength, Spring Energy, 0.014912 0.025549 0.019169
Apical-Lumen, ECM strength, Spring Energy, 0.014918 0.025545 0.019155
Apical-Lumen, ECM strength, Spring Energy, 0.014924 0.025541 0.019141
Apical-Lumen, ECM strength, Spring Energy, 0.014930 0.025536 0.019126
Apical-Lumen, ECM strength, Spring Energy, 0.014937 0.025531 0.019110
Apical-Lumen, ECM strength, Spring Energy, 0.014944 0.025527 0.019096
Apical-Lumen, ECM strength, Spring Energy, 0.014950 0.025523 0.019084
Apical-Lumen, ECM strength, Spring Energy, 0.014955 0.025519 0.019071
Apical-Lumen, ECM strength, Spring Energy, 0.014961 0.025515 0.019058
Apical-Lumen, ECM strength, Spring Energy, 0.014967 0.025510 0.019043
Apical-Lumen, ECM strength, Spring Energy, 0.014974 0.025506 0.019028
Apical-Lumen, ECM strength, Spring Energy, 0.014980 0.025502 0.019015
Apical-Lumen, ECM strength, Spring Energy, 0.014985 0.025498 0.019004
Apical-Lumen, ECM strength, Spring Energy, 0.014991 0.025494 0.018992
Apical-Lumen, ECM strength, Spring Energy, 0.014996 0.025490 0.018979
Apical-Lumen, ECM strength, Spring Energy, 0.015002 0.025486 0.018966
Apical-Lumen, ECM strength, Spring Energy, 0.015008 0.025482 0.018952
Apical-Lumen, ECM strength, Spring Energy, 0.015014 0.025478 0.018938
Apical-Lumen, ECM strength, Spring Energy, 0.015019 0.025474 0.018927
Apical-Lumen, ECM strength, Spring Energy, 0.015024 0.025470 0.018916
Apical-Lumen, ECM strength, Spring Energy, 0.015030 0.025467 0.018903
Apical-Lumen, ECM strength, Spring Energy, 0.015036 0.025462 0.018890
Apical-Lumen, ECM strength, Spring Energy, 0.015041 0.025458 0.018877
Apical-Lumen, ECM strength, Spring Energy, 0.015047 0.025455 0.018866
Apical-Lumen, ECM strength, Spring Energy, 0.015052 0.025451 0.018855
Apical-Lumen, ECM strength, Spring Energy, 0.015057 0.025448 0.018843
Apical-Lumen, ECM strength, Spring Energy, 0.015062 0.025444 0.018831
Apical-Lumen, ECM strength, Spring Energy, 0.015067 0.025440 0.018819
Apical-Lumen, ECM strength, Spring Energy, 0.015072 0.025436 0.018808
Apical-Lumen, ECM strength, Spring Energy, 0.015077 0.025433 0.018797
Apical-Lumen, ECM strength, Spring Energy, 0.015082 0.025429 0.018785
Apical-Lumen, ECM strength, Spring Energy, 0.015088 0.025426 0.018773
Apical-Lumen, ECM strength, Spring Energy, 0.015092 0.025422 0.018763
Apical-Lumen, ECM strength, Spring Energy, 0.015097 0.025419 0.018752
Apical-Lumen, ECM strength, Spring Energy, 0.015102 0.025415 0.018741
Apical-Lumen, ECM strength, Spring Energy, 0.015107 0.025412 0.018730
Apical-Lumen, ECM strength, Spring Energy, 0.015111 0.025409 0.018720
Apical-Lumen, ECM strength, Spring Energy, 0.015116 0.025405 0.018710
Apical-Lumen, ECM strength, Spring Energy, 0.015121 0.025402 0.018698
Apical-Lumen, ECM strength, Spring Energy, 0.015126 0.025398 0.018688
Apical-Lumen, ECM strength, Spring Energy, 0.015130 0.025395 0.018678
Apical-Lumen, ECM strength, Spring Energy, 0.015135 0.025392 0.018668
Apical-Lumen, ECM strength, Spring Energy, 0.015139 0.025389 0.018657
Apical-Lumen, ECM strength, Spring Energy, 0.015144 0.025385 0.018646
Apical-Lumen, ECM strength, Spring Energy, 0.015148 0.025382 0.018637
Apical-Lumen, ECM strength, Spring Energy, 0.015153 0.025379 0.018627
Apical-Lumen, ECM strength, Spring Energy, 0.015157 0.025376 0.018616
Apical-Lumen, ECM strength, Spring Energy, 0.015162 0.025373 0.018607
Apical-Lumen, ECM strength, Spring Energy, 0.015166 0.025370 0.018597
Apical-Lumen, ECM strength, Spring Energy, 0.015170 0.025367 0.018588
Apical-Lumen, ECM strength, Spring Energy, 0.015174 0.025363 0.018577
Apical-Lumen, ECM strength, Spring Energy, 0.015179 0.025360 0.018567
Apical-Lumen, ECM strength, Spring Energy, 0.015183 0.025357 0.018558
Apical-Lumen, ECM strength, Spring Energy, 0.015187 0.025354 0.018549
Apical-Lumen, ECM strength, Spring Energy, 0.015191 0.025351 0.018539
Apical-Lumen, ECM strength, Spring Energy, 0.015196 0.025348 0.018529
Apical-Lumen, ECM strength, Spring Energy, 0.015200 0.025345 0.018521
Apical-Lumen, ECM strength, Spring Energy, 0.015204 0.025342 0.018511
Apical-Lumen, ECM strength, Spring Energy, 0.015208 0.025339 0.018501
Apical-Lumen, ECM strength, Spring Energy, 0.015212 0.025336 0.018493
Apical-Lumen, ECM strength, Spring Energy, 0.015216 0.025334 0.018484
Apical-Lumen, ECM strength, Spring Energy, 0.015219 0.025331 0.018475
Apical-Lumen, ECM strength, Spring Energy, 0.015224 0.025328 0.018466
Apical-Lumen, ECM strength, Spring Energy, 0.015228 0.025325 0.018456
Apical-Lumen, ECM strength, Spring Energy, 0.015231 0.025322 0.018448
Apical-Lumen, ECM strength, Spring Energy, 0.015235 0.025319 0.018439
Apical-Lumen, ECM strength, Spring Energy, 0.015239 0.025317 0.018430
Apical-Lumen, ECM strength, Spring Energy, 0.015243 0.025314 0.018421
Apical-Lumen, ECM strength, Spring Energy, 0.015247 0.025311 0.018413
Apical-Lumen, ECM strength, Spring Energy, 0.015250 0.025308 0.018404
Apical-Lumen, ECM strength, Spring Energy, 0.015254 0.025305 0.018395
Apical-Lumen, ECM strength, Spring Energy, 0.015258 0.025303 0.018387
Apical-Lumen, ECM strength, Spring Energy, 0.015261 0.025300 0.018379
Apical-Lumen, ECM strength, Spring Energy, 0.015265 0.025298 0.018371
Apical-Lumen, ECM strength, Spring Energy, 0.015269 0.025295 0.018362
Apical-Lumen, ECM strength, Spring Energy, 0.015273 0.025292 0.018353
Apical-Lumen, ECM strength, Spring Energy, 0.015276 0.025290 0.018346
Apical-Lumen, ECM strength, Spring Energy, 0.015280 0.025287 0.018338
Apical-Lumen, ECM strength, Spring Energy, 0.015283 0.025284 0.018329
Apical-Lumen, ECM strength, Spring Energy, 0.015287 0.025282 0.018321
Apical-Lumen, ECM strength, Spring Energy, 0.015290 0.025279 0.018313
Apical-Lumen, ECM strength, Spring Energy, 0.015294 0.025277 0.018305
Apical-Lumen, ECM strength, Spring Energy, 0.015297 0.025274 0.018297
Apical-Lumen, ECM strength, Spring Energy, 0.015301 0.025272 0.018289
Apical-Lumen, ECM strength, Spring Energy, 0.015304 0.025269 0.018282
Apical-Lumen, ECM strength, Spring Energy, 0.015307 0.025267 0.018274
Apical-Lumen, ECM strength, Spring Energy, 0.015311 0.025264 0.018265
Apical-Lumen, ECM strength, Spring Energy, 0.015314 0.025262 0.018258
Apical-Lumen, ECM strength, Spring Energy, 0.015317 0.025259 0.018251
Apical-Lumen, ECM strength, Spring Energy, 0.015321 0.025257 0.018243
Apical-Lumen, ECM strength, Spring Energy, 0.015324 0.025255 0.018235
Apical-Lumen, ECM strength, Spring Energy, 0.015327 0.025252 0.018227
Apical-Lumen, ECM strength, Spring Energy, 0.015331 0.025250 0.018220
Apical-Lumen, ECM strength, Spring Energy, 0.015334 0.025248 0.018213
