Apical-Lumen, ECM strength, Spring Energy, 0.014819 0.016507 0.050133
Apical-Lumen, ECM strength, Spring Energy, 0.014824 0.016503 0.050087
Apical-Lumen, ECM strength, Spring Energy, 0.014829 0.016500 0.050041
Apical-Lumen, ECM strength, Spring Energy, 0.014833 0.016496 0.049996
Apical-Lumen, ECM strength, Spring Energy, 0.014838 0.016493 0.049951
Apical-Lumen, ECM strength, Spring Energy, 0.014843 0.016490 0.049911
Apical-Lumen, ECM strength, Spring Energy, 0.014847 0.016487 0.049871
Apical-Lumen, ECM strength, Spring Energy, 0.014851 0.016484 0.049832
Apical-Lumen, ECM strength, Spring Energy, 0.014855 0.016481 0.049793
Apical-Lumen, ECM strength, Spring Energy, 0.014859 0.016478 0.049754
Apical-Lumen, ECM strength, Spring Energy, 0.014864 0.016475 0.049715
Apical-Lumen, ECM strength, Spring Energy, 0.014868 0.016472 0.049677
Apical-Lumen, ECM strength, Spring Energy, 0.014872 0.016469 0.049639
Apical-Lumen, ECM strength, Spring Energy, 0.014876 0.016467 0.049601
Apical-Lumen, ECM strength, Spring Energy, 0.014879 0.016464 0.049564
Apical-Lumen, ECM strength, Spring Energy, 0.014883 0.016461 0.049526
Apical-Lumen, ECM strength, Spring Energy, 0.014887 0.016458 0.049489
Apical-Lumen, ECM strength, Spring Energy, 0.014891 0.016456 0.049452
Apical-Lumen, ECM strength, Spring Energy, 0.014895 0.016453 0.049416
Apical-Lumen, ECM strength, Spring Energy, 0.014899 0.016450 0.049379
Apical-Lumen, ECM strength, Spring Energy, 0.014903 0.016448 0.049343
Apical-Lumen, ECM strength, Spring Energy, 0.014906 0.016445 0.049307
Apical-Lumen, ECM strength, Spring Energy, 0.014910 0.016443 0.049271
Apical-Lumen, ECM strength, Spring Energy, 0.014914 0.016440 0.049236
Apical-Lumen, ECM strength, Spring Energy, 0.014917 0.016438 0.049201
Apical-Lumen, ECM strength, Spring Energy, 0.014921 0.016435 0.049166
Apical-Lumen, ECM strength, Spring Energy, 0.014925 0.016433 0.049132
Apical-Lumen, ECM strength, Spring Energy, 0.014928 0.016430 0.049098
