Apical-Lumen, ECM strength, Spring Energy, 0.012905 0.010391 0.055499
Apical-Lumen, ECM strength, Spring Energy, 0.012909 0.010389 0.055424
Apical-Lumen, ECM strength, Spring Energy, 0.012913 0.010387 0.055350
Apical-Lumen, ECM strength, Spring Energy, 0.012917 0.010386 0.055277
Apical-Lumen, ECM strength, Spring Energy, 0.012921 0.010384 0.055205
Apical-Lumen, ECM strength, Spring Energy, 0.012925 0.010382 0.055133
Apical-Lumen, ECM strength, Spring Energy, 0.012928 0.010381 0.055063
Apical-Lumen, ECM strength, Spring Energy, 0.012932 0.010379 0.054993
Apical-Lumen, ECM strength, Spring Energy, 0.012936 0.010377 0.054924
Apical-Lumen, ECM strength, Spring Energy, 0.012940 0.010376 0.054855
Apical-Lumen, ECM strength, Spring Energy, 0.012944 0.010374 0.054787
Apical-Lumen, ECM strength, Spring Energy, 0.012947 0.010373 0.054720
Apical-Lumen, ECM strength, Spring Energy, 0.012951 0.010371 0.054654
Apical-Lumen, ECM strength, Spring Energy, 0.012954 0.010370 0.054588
Apical-Lumen, ECM strength, Spring Energy, 0.012958 0.010368 0.054523
Apical-Lumen, ECM strength, Spring Energy, 0.012962 0.010367 0.054459
Apical-Lumen, ECM strength, Spring Energy, 0.012965 0.010365 0.054395
Apical-Lumen, ECM strength, Spring Energy, 0.012969 0.010364 0.054332
Apical-Lumen, ECM strength, Spring Energy, 0.012972 0.010362 0.054269
Apical-Lumen, ECM strength, Spring Energy, 0.012976 0.010361 0.054207
Apical-Lumen, ECM strength, Spring Energy, 0.012979 0.010359 0.054146
Apical-Lumen, ECM strength, Spring Energy, 0.012982 0.010358 0.054085
Apical-Lumen, ECM strength, Spring Energy, 0.012986 0.010356 0.054024
Apical-Lumen, ECM strength, Spring Energy, 0.012989 0.010355 0.053964
Apical-Lumen, ECM strength, Spring Energy, 0.012992 0.010354 0.053904
Apical-Lumen, ECM strength, Spring Energy, 0.012996 0.010352 0.053845
Apical-Lumen, ECM strength, Spring Energy, 0.012999 0.010351 0.053787
